HTS,description,country,year,Customs Value,First Unit,Second Unit,Landed Duty-Paid Value,Dutiable Value,Calculated Duties,Import Charges,CIF Import Value
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Algeria,2024.0,50201882,91543926.0,0.0,53481663,50201882,0,3279781,53481663
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Australia,2024.0,579827,373842.0,0.0,626558,0,0,46731,626558
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Brazil,2024.0,13321545,18965865.0,0.0,14466230,0,0,1144685,14466230
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Bulgaria,2024.0,66238630,95474469.0,0.0,70456997,0,0,4218367,70456997
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Canada,2024.0,70706993,83777555.0,0.0,72386319,0,0,1679326,72386319
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",China,2024.0,17438,33255.0,0.0,26236,17438,5041,3757,21195
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Costa Rica,2024.0,30765,37623.0,0.0,41756,30765,7691,3300,34065
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Dominican Republic,2024.0,15870453,20838793.0,0.0,20162313,15780448,3914473,377387,16247840
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Egypt,2024.0,112352367,201785986.0,0.0,152222197,112352367,27741588,12128242,124480609
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Germany,2024.0,1701873,1299286.0,0.0,1821603,368871,0,119730,1821603
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Greece,2024.0,3113295,4460936.0,0.0,3476092,11172,0,362797,3476092
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",India,2024.0,305326,240012.0,0.0,406145,305326,51571,49248,354574
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Italy,2024.0,2103,2745.0,0.0,2214,2103,0,111,2214
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Mexico,2024.0,95004180,138198384.0,0.0,98192251,0,0,3188071,98192251
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Oman,2024.0,13526032,28614999.0,0.0,15617925,13526032,0,2091893,15617925
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Portugal,2024.0,16470337,24291561.0,0.0,18085516,0,0,1615179,18085516
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",South Korea,2024.0,2584731,4073750.0,0.0,3046666,0,0,461935,3046666
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Spain,2024.0,15292789,22538979.0,0.0,16664225,3724,0,1371436,16664225
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Switzerland,2024.0,940754,1850646.0,0.0,1305488,940754,235189,129545,1070299
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Turkey,2024.0,42432873,72138418.0,0.0,56875256,42432873,10092461,4349922,46782795
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Ukraine,2024.0,6669816,9342870.0,0.0,7550911,0,0,881095,7550911
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",United Arab Emirates,2024.0,12581329,22558755.0,0.0,13873637,12581329,0,1292308,13873637
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Vietnam,2024.0,29779414,56402952.0,0.0,44428483,29779414,7444858,7204211,36983625
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Austria,2024.0,18297,592.0,0.0,20187,18297,0,1890,20187
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Canada,2024.0,1491811,825825.0,0.0,1515031,37655,0,23220,1515031
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",China,2024.0,1772337,524574.0,0.0,2354146,1772337,560063,21746,1794083
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Dominican Republic,2024.0,50380,43952.0,0.0,53966,50380,0,3586,53966
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Germany,2024.0,8364,2287.0,0.0,8365,8364,0,1,8365
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",India,2024.0,39603,20018.0,0.0,40903,4084,0,1300,40903
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Italy,2024.0,830169,328951.0,0.0,925934,272836,68216,27549,857718
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Mexico,2024.0,2247099,990175.0,0.0,2254910,0,0,7811,2254910
